skill,num_postings,pct_postings,num_occurence,pct_occurence
experience,238,0.4007,293,0.0355
data,166,0.2795,1024,0.124
ci,150,0.2525,788,0.0954
ts,132,0.2222,431,0.0522
bi,111,0.1869,270,0.0327
work,89,0.1498,310,0.0375
ba,86,0.1448,342,0.0414
tech,85,0.1431,254,0.0308
ability,82,0.138,42,0.0051
sci,78,0.1313,535,0.0648
skill,75,0.1263,147,0.0178
ip,72,0.1212,279,0.0338
skills,71,0.1195,135,0.0163
model,70,0.1178,378,0.0458
year,70,0.1178,89,0.0108
bu,68,0.1145,262,0.0317
years,65,0.1094,78,0.0094
ai,62,0.1044,287,0.0348
statistic,62,0.1044,306,0.0371
ms,62,0.1044,318,0.0385
os,59,0.0993,324,0.0392
able,59,0.0993,253,0.0306
learn,59,0.0993,448,0.0543
analytic,57,0.096,227,0.0275
science,55,0.0926,331,0.0401
chi,55,0.0926,227,0.0275
act,54,0.0909,208,0.0252
python,53,0.0892,117,0.0142
develop,51,0.0859,168,0.0203
strong,49,0.0825,102,0.0124
analysis,49,0.0825,265,0.0321
learning,47,0.0791,333,0.0403
degree,43,0.0724,33,0.004
edge,43,0.0724,89,0.0108
knowledge,42,0.0707,85,0.0103
sql,40,0.0673,125,0.0151
excel,40,0.0673,74,0.009
machine,39,0.0657,185,0.0224
process,38,0.064,171,0.0207
line,38,0.064,197,0.0239
machine learning,37,0.0623,94,0.0114
put,37,0.0623,169,0.0205
statistical,36,0.0606,135,0.0163
problem,36,0.0606,142,0.0172
analytics,35,0.0589,160,0.0194
tool,35,0.0589,122,0.0148
prefer,35,0.0589,96,0.0116
using,34,0.0572,243,0.0294
business,34,0.0572,144,0.0174
models,33,0.0556,143,0.0173
techniques,33,0.0556,114,0.0138
manage,33,0.0556,160,0.0194
field,32,0.053900000000000003,37,0.0045
working,32,0.053900000000000003,29,0.0035
environment,32,0.053900000000000003,93,0.0113
language,32,0.053900000000000003,87,0.0105
data science,32,0.053900000000000003,124,0.015
ols,32,0.053900000000000003,123,0.0149
communication,31,0.0522,51,0.0062
project,31,0.0522,103,0.0125
require,31,0.0522,52,0.0063
preferred,30,0.0505,74,0.009
tools,30,0.0505,107,0.013
statistics,29,0.0488,168,0.0203
modeling,29,0.0488,126,0.0153
including,29,0.0488,386,0.0467
excellent,29,0.0488,38,0.0046
ph,29,0.0488,180,0.0218
technical,28,0.0471,68,0.0082
search,28,0.0471,131,0.0159
end,27,0.0455,81,0.0098
ead,27,0.0455,103,0.0125
large,26,0.0438,103,0.0125
computer,26,0.0438,131,0.0159
ml,26,0.0438,134,0.0162
research,26,0.0438,121,0.0147
set,26,0.0438,58,0.007
team,25,0.0421,73,0.0088
aster,25,0.0421,22,0.0027
stem,25,0.0421,121,0.0147
table,25,0.0421,98,0.0119
master,24,0.0404,20,0.0024
programming,23,0.0387,77,0.0093
