skill,num_postings,pct_postings,num_occurence,pct_occurence,is_skill
abilities,3,0.0072,5,0.0014,
ability,61,0.1459,12,0.0035,
able,36,0.0861,80,0.023,
able work,1,0.0024,2,6.00E-04,
acceleration,1,0.0024,2,6.00E-04,
access,3,0.0072,7,0.002,
access data,1,0.0024,1,3.00E-04,
access facilities,1,0.0024,1,3.00E-04,
access management,1,0.0024,1,3.00E-04,
access tools,1,0.0024,2,6.00E-04,
account,2,0.0048,5,0.0014,
account manager,1,0.0024,2,6.00E-04,
account status,1,0.0024,1,3.00E-04,
accuracy,2,0.0048,1,3.00E-04,
achieve,1,0.0024,1,3.00E-04,
acquire,1,0.0024,3,9.00E-04,
acquire essential,1,0.0024,2,6.00E-04,
acquire essential business,1,0.0024,1,3.00E-04,
acquiring,1,0.0024,2,6.00E-04,
acquiring data,1,0.0024,1,3.00E-04,y
across,4,0.0096,9,0.0026,
across projects,1,0.0024,3,9.00E-04,
act,38,0.0909,74,0.0213,
action,8,0.0191,17,0.0049,
action oriented,1,0.0024,1,3.00E-04,y
actionable,3,0.0072,9,0.0026,
actionable insights,2,0.0048,3,9.00E-04,n
actionable project,1,0.0024,3,9.00E-04,
actionable project execution,1,0.0024,2,6.00E-04,
actionable project execution strategy,1,0.0024,1,3.00E-04,
actions,1,0.0024,1,3.00E-04,
active,3,0.0072,7,0.002,
active ts,1,0.0024,4,0.0012,
active ts sci,1,0.0024,3,9.00E-04,
active ts sci clearance,1,0.0024,2,6.00E-04,
active ts sci clearance required,1,0.0024,1,3.00E-04,
activemq,1,0.0024,1,3.00E-04,
activities,1,0.0024,2,6.00E-04,
adaptive,1,0.0024,6,0.0017,
adaptive regression,1,0.0024,4,0.0012,
adaptive regression spline,1,0.0024,2,6.00E-04,
added,1,0.0024,2,6.00E-04,
added asset,1,0.0024,1,3.00E-04,
additional,3,0.0072,7,0.002,
additional languages,1,0.0024,1,3.00E-04,
additional software,1,0.0024,3,9.00E-04,
additional software experience,1,0.0024,2,6.00E-04,
additional software experience preferred,1,0.0024,1,3.00E-04,
additive,1,0.0024,4,0.0012,
additive models,1,0.0024,2,6.00E-04,
address,1,0.0024,2,6.00E-04,
address problems,1,0.0024,1,3.00E-04,
adopt,1,0.0024,1,3.00E-04,
advanced,15,0.0359,32,0.0092,
advanced analytic,3,0.0072,5,0.0014,
advanced analytic solutions,1,0.0024,1,3.00E-04,
advanced analytical,1,0.0024,2,6.00E-04,
advanced analytical methodologies,1,0.0024,1,3.00E-04,
advanced analytics,1,0.0024,1,3.00E-04,y
advanced data,1,0.0024,6,0.0017,
advanced data visualization techniques,1,0.0024,2,6.00E-04,y
advanced degree,1,0.0024,1,3.00E-04,
advanced knowledge,2,0.0048,1,3.00E-04,
advanced ml algorithms,1,0.0024,1,3.00E-04,y
advanced ml topics,1,0.0024,3,9.00E-04,
advanced pattern,1,0.0024,2,6.00E-04,
advanced pattern recognition,1,0.0024,1,3.00E-04,y
advanced proficiency,1,0.0024,1,3.00E-04,
advanced skills,1,0.0024,2,6.00E-04,
advanced statistical,1,0.0024,2,6.00E-04,
advanced statistical techniques,1,0.0024,1,3.00E-04,y
advanced statistics,1,0.0024,1,3.00E-04,y
advantages,1,0.0024,6,0.0017,
advantages drawbacks,1,0.0024,3,9.00E-04,
advice,1,0.0024,2,6.00E-04,
advise,1,0.0024,1,3.00E-04,y
affiliated,1,0.0024,2,6.00E-04,
affiliated leagues,1,0.0024,1,3.00E-04,
agency,3,0.0072,7,0.002,
agency needs,1,0.0024,3,9.00E-04,
agency objectives,1,0.0024,1,3.00E-04,
agile development,2,0.0048,2,6.00E-04,y
agile development methodologies,1,0.0024,1,3.00E-04,
agile methodologies,1,0.0024,4,0.0012,y
agile methodologies using,1,0.0024,3,9.00E-04,
agile methodologies using project,1,0.0024,2,6.00E-04,
agile methodologies using project planning,1,0.0024,1,3.00E-04,
agile methodology,1,0.0024,2,6.00E-04,y
agile methodology environment,1,0.0024,1,3.00E-04,
ai,46,0.11,124,0.0357,y
ai frameworks,1,0.0024,4,0.0012,y
ai ml,1,0.0024,6,0.0017,y
ai ml toolsets,1,0.0024,3,9.00E-04,y
ai partner,1,0.0024,4,0.0012,
ai partner ecosystem,1,0.0024,2,6.00E-04,
ai solutions,1,0.0024,2,6.00E-04,y
ai strategy,1,0.0024,1,3.00E-04,y
ai technology,1,0.0024,1,3.00E-04,y
ai thought,1,0.0024,2,6.00E-04,
ai thought leader,1,0.0024,1,3.00E-04,
airflow,2,0.0048,2,6.00E-04,y
algebra,1,0.0024,2,6.00E-04,y
